"분류","핵심사항","후보군","미반영시 발생 문제점"
"보안(Security)","TLS 1.3 종단, 게이트웨이·앱·DB 레이어드 방어, OWASP Top 10별 대응(접근제어·암호화·인젝션 방지·구성·로깅·SSRF 등), 보안 HTTP 헤더·이미지 서명·SBOM","cert-manager+Let's Encrypt, nginx TLS 스위트, FastAPI 미들웨어/Spring SecurityFilterChain, Keycloak RBAC, Dependabot·Trivy·pip audit","기본 자격·약한 TLS·헤더 누락으로 XSS/클릭재킹·데이터 유출, 취약 의존성 누적, 감사 불가"
"테스트 전략(Testing)","테스트 피라미드(단위~70%·통합~25%·E2E~5%), FIRST·AAA, 외부 Mock, 서비스/도메인/컨트롤러 커버리지 목표, PR·배포 게이트","pytest·AsyncMock(FastAPI), JUnit5·Mockito(Spring), testcontainers, Codecov·JaCoCo","회귀 미검출, 리팩터링 공포, 프로덕션 장애 후행 발견, 머지 기준 불명확"
"ADR 포맷","아키텍처 결정의 배경·옵션·결정·결과를 기록, 상태(제안/수락/폐기/대체) 관리, 수락 ADR 비수정·대체 ADR로 이력 보존","docs/adr/ ADR-0001-제목.md 네이밍, 마크다운 템플릿","왜 그 기술인지 소실, 재토론·온보딩 비용, 동일 실수 반복"
"인프라·CI/CD","lint→test→build→image push, dev 자동·staging/prod 승인 CD, K8s 네임스페이스, RollingUpdate 무중단, 멀티스테이지 Docker·non-root","GitHub Actions 등 CI, GHCR 등 레지스트리, Helm/K8s 매니페스트","배포 파편화, 추적 불가 태그, 루트 컨테이너·이미지 비대, 환경 간 드리프트"
"데이터 거버넌스","민감도 L1~L4, PII 목록·로그 마스킹, 보존 기간·배치 삭제·ILM, 데이터 계보(출처→스냅샷→분석→응답)","필드 레벨 마스킹, OTel Collector redaction, OpenSearch 보존 정책","규제·개인정보 위반, 로그 유출, 불필요 장기 보관, 출처 추적 불가"
"API Gateway","단일 진입점, TLS 종료, JWT(JWKS), Rate limiting, 라우팅·LB·변환·서킷 브레이커","Kong, nginx+Lua, AWS API Gateway, Traefik, Rate 알고리즘(Fixed/Sliding/Token/Leaky)","인증 중복·불일치, 남용·DDoS, 마이크로서비스 라우팅 혼선, 백엔드 직접 노출"
"Database","정규화 기준·의도적 비정규화 주석, PK(BIGSERIAL+UUID), 컬럼 타입·FK ON DELETE, B-Tree·Partial·GIN, TTL/만료","PostgreSQL 15·JSONB, MySQL 8 JSON, SQLite·Mongo 대안 명시","조인·스캔 비효율, 무결성 깨짐, ID 추측·인덱스 남용, 만료 데이터 누적"
"Versions(버전 카탈로그)","공통 스펙 간 SW·모델·패키지 버전 단일 참조, 최소 버전·TBD 규칙","Python 3.11+, Java 21, Spring Boot 3.x, LangChain·임베딩·벡터DB·Redis 등 표","환경별 버전 불일치, 재현 빌드 실패, 보안 패치 기준 혼란"
"관측성(OTel+OpenSearch)","Trace·Span·Metric·Log, OTLP→Collector→Jaeger/Tempo·Prometheus·OpenSearch, FastAPI/Spring 자동·수동 계측","structlog 연동, 대시보드·알림, PII와 계측 분리","장애 시 원인 불명, 지연 구간 미특정, 로그만으로 상관 분석 불가"
"Backend(Spring Boot)","Java 21, 계층(controller·service·client·dto·exception), Bean Validation, WebClient/RestClient, Virtual Threads·WebFlux 선택","SpringDoc OpenAPI, Gradle 멀티스테이지 JRE 이미지","검증 누락, 예외 응답 불일치, 외부 호출 설정 산재"
"비즈니스 스펙 포맷","기능의 무엇·왜 중심, 문서정보·가치·이해관계자·시나리오·기능요건 구조, 구현 방법 배제","복사용 마크다운 템플릿, 상태(초안/승인 등)","요구와 구현 혼재, 범위 불명확, 검수 기준 부재"
"RAG","오프라인 청킹·임베딩·저장, 온라인 검색·컨텍스트·생성, 청킹 전략·chunk_size, 하이브리드·MMR·리랭킹","임베딩: small/large/ada-002/bge-m3, 스토어: Chroma·Pinecone·Weaviate·pgvector·Qdrant, ragas 평가","환각·근거 부족, 한국어·전문용어 검색 실패, 비용·지연 폭증"
"메시징·EDA","동기 한계(장시간 LLM·장애)를 큐·이벤트로 완화, 이벤트 스키마·네이밍, Kafka 토픽·파티션 키","Kafka, RabbitMQ, Redis Streams","HTTP 타임아웃·유실, 서비스 강결합, 트래픽 급증 시 백엔드 다운"
"캐싱 전략","CDN→GW→Redis→DB 레이어, Redis 자료구조별 용도, 키 네이밍·버전·TTL, Cache-Aside 권장","String·Hash·ZSet 등, LLM·프로필·세션·Rate limit별 TTL","불필요 외부·LLM 호출로 비용↑, stale 응답, 키 충돌·무효화 혼란"
"Backend(FastAPI)","Python 3.11+, Pydantic v2 검증, 라우터·서비스·Depends, pydantic-settings, 비동기 클라이언트·재시도","Uvicorn, httpx, tenacity, fastapi-cache2, pytest·testcontainers","입력 검증 공백, 설정 누출, 테스트ability 저하"
"Agentic Agent","ReAct·툴 단일책임·description, max_iterations·시간 제한, 파싱 오류 처리, LangSmith 등 관찰성","CoT, Plan-and-Execute, Multi-Agent 패턴","무한 루프·비용 폭주, 툴 선택 오류, 파싱 실패 반복"
"Frontend","CSR/SSR/SSG/Hybrid·Jinja2 선택 기준, 컴포넌트·상태 분리, API 레이어·AbortController, 에러 계층","useState~Redux Toolkit, Zustand, Next.js 등","SEO·초기 로딩 실패, props drilling, 취소·에러 UX 미흡"
"인증·인가(Keycloak)","Realm·Client, Authorization Code+PKCE, JWT 클레임·만료 검증, JWKS 캐시·백엔드 통합","Client Credentials(M2M), Device flow 등 특수 케이스","토큰 위·변조, 역할 불일치, 브라우저 secret 노출, 세션 보안 사고"
